recordDay,timeZone,sportType,sportBasicInfoData
20210526,"""	-0500""",4,"{""duration"":19,""altitude"":0.0,""distance"":2863,""calorie"":182000,""count"":0,""floor"":0,""steps"":3138}"
20210526,"""	-0500""",5,"{""duration"":54,""altitude"":0.0,""distance"":1742,""calorie"":274942,""count"":0,""floor"":0,""steps"":2834}"
20210527,"""	-0500""",5,"{""duration"":19,""altitude"":0.0,""distance"":205,""calorie"":4625,""count"":0,""floor"":0,""steps"":371}"
20210528,"""	-0500""",4,"{""duration"":1,""altitude"":0.0,""distance"":112,""calorie"":6621,""count"":0,""floor"":0,""steps"":144}"
20210528,"""	-0500""",5,"{""duration"":80,""altitude"":0.0,""distance"":3460,""calorie"":148855,""count"":0,""floor"":0,""steps"":4818}"
20210529,"""	-0500""",4,"{""duration"":22,""altitude"":0.0,""distance"":3170,""calorie"":213269,""count"":0,""floor"":0,""steps"":3549}"
20210529,"""	-0500""",5,"{""duration"":51,""altitude"":0.0,""distance"":1758,""calorie"":109758,""count"":0,""floor"":0,""steps"":2397}"
20210530,"""	-0500""",5,"{""duration"":113,""altitude"":0.0,""distance"":2391,""calorie"":171751,""count"":0,""floor"":0,""steps"":4051}"
20210531,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":2903,""calorie"":188000,""count"":0,""floor"":0,""steps"":3229}"
20210531,"""	-0500""",5,"{""duration"":83,""altitude"":0.0,""distance"":2064,""calorie"":126569,""count"":0,""floor"":0,""steps"":2917}"
20210601,"""	-0500""",5,"{""duration"":35,""altitude"":0.0,""distance"":523,""calorie"":20312,""count"":0,""floor"":0,""steps"":839}"
20210602,"""	-0500""",5,"{""duration"":10,""altitude"":0.0,""distance"":115,""calorie"":1790,""count"":0,""floor"":0,""steps"":193}"
20210603,"""	-0500""",4,"{""duration"":14,""altitude"":0.0,""distance"":2073,""calorie"":131000,""count"":0,""floor"":0,""steps"":2279}"
20210603,"""	-0500""",5,"{""duration"":75,""altitude"":0.0,""distance"":2271,""calorie"":116372,""count"":0,""floor"":0,""steps"":3334}"
20210604,"""	-0500""",5,"{""duration"":79,""altitude"":0.0,""distance"":4121,""calorie"":196640,""count"":0,""floor"":0,""steps"":5689}"
20210605,"""	-0500""",4,"{""duration"":18,""altitude"":0.0,""distance"":2614,""calorie"":165000,""count"":0,""floor"":0,""steps"":2886}"
20210605,"""	-0500""",5,"{""duration"":61,""altitude"":0.0,""distance"":1538,""calorie"":154591,""count"":0,""floor"":0,""steps"":2288}"
20210606,"""	-0500""",5,"{""duration"":24,""altitude"":0.0,""distance"":282,""calorie"":9114,""count"":0,""floor"":0,""steps"":496}"
20210607,"""	-0500""",4,"{""duration"":22,""altitude"":0.0,""distance"":3333,""calorie"":214000,""count"":0,""floor"":0,""steps"":3605}"
20210607,"""	-0500""",5,"{""duration"":78,""altitude"":0.0,""distance"":1621,""calorie"":245365,""count"":0,""floor"":0,""steps"":2858}"
20210608,"""	-0500""",5,"{""duration"":27,""altitude"":0.0,""distance"":857,""calorie"":36547,""count"":0,""floor"":0,""steps"":1285}"
20210609,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3067,""calorie"":193000,""count"":0,""floor"":0,""steps"":3331}"
20210609,"""	-0500""",5,"{""duration"":48,""altitude"":0.0,""distance"":821,""calorie"":149153,""count"":0,""floor"":0,""steps"":1484}"
20210610,"""	-0500""",5,"{""duration"":77,""altitude"":0.0,""distance"":1821,""calorie"":76235,""count"":0,""floor"":0,""steps"":2881}"
20210611,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3007,""calorie"":190000,""count"":0,""floor"":0,""steps"":3271}"
20210611,"""	-0500""",5,"{""duration"":81,""altitude"":0.0,""distance"":3275,""calorie"":207690,""count"":0,""floor"":0,""steps"":4659}"
20210612,"""	-0500""",5,"{""duration"":16,""altitude"":0.0,""distance"":236,""calorie"":5892,""count"":0,""floor"":0,""steps"":411}"
20210613,"""	-0500""",5,"{""duration"":48,""altitude"":0.0,""distance"":842,""calorie"":30196,""count"":0,""floor"":0,""steps"":1279}"
20210614,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2494,""calorie"":158000,""count"":0,""floor"":0,""steps"":2715}"
20210614,"""	-0500""",5,"{""duration"":77,""altitude"":0.0,""distance"":1806,""calorie"":212267,""count"":0,""floor"":0,""steps"":2815}"
20210615,"""	-0500""",5,"{""duration"":48,""altitude"":0.0,""distance"":1365,""calorie"":56675,""count"":0,""floor"":0,""steps"":1959}"
20210616,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2285,""calorie"":146000,""count"":0,""floor"":0,""steps"":2570}"
20210616,"""	-0500""",5,"{""duration"":47,""altitude"":0.0,""distance"":1421,""calorie"":84547,""count"":0,""floor"":0,""steps"":1999}"
20210617,"""	-0500""",5,"{""duration"":23,""altitude"":0.0,""distance"":232,""calorie"":8171,""count"":0,""floor"":0,""steps"":394}"
20210618,"""	-0500""",5,"{""duration"":23,""altitude"":0.0,""distance"":311,""calorie"":8479,""count"":0,""floor"":0,""steps"":487}"
20210619,"""	-0500""",5,"{""duration"":18,""altitude"":0.0,""distance"":194,""calorie"":5182,""count"":0,""floor"":0,""steps"":324}"
20210620,"""	-0500""",4,"{""duration"":15,""altitude"":0.0,""distance"":2058,""calorie"":134000,""count"":0,""floor"":0,""steps"":2411}"
20210620,"""	-0500""",5,"{""duration"":78,""altitude"":0.0,""distance"":1883,""calorie"":193272,""count"":0,""floor"":0,""steps"":2919}"
20210621,"""	-0500""",5,"{""duration"":15,""altitude"":0.0,""distance"":155,""calorie"":4199,""count"":0,""floor"":0,""steps"":264}"
20210622,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2453,""calorie"":158000,""count"":0,""floor"":0,""steps"":2769}"
20210622,"""	-0500""",5,"{""duration"":70,""altitude"":0.0,""distance"":1575,""calorie"":212982,""count"":0,""floor"":0,""steps"":2473}"
20210623,"""	-0500""",5,"{""duration"":18,""altitude"":0.0,""distance"":155,""calorie"":3209,""count"":0,""floor"":0,""steps"":264}"
20210624,"""	-0500""",5,"{""duration"":11,""altitude"":0.0,""distance"":137,""calorie"":4520,""count"":0,""floor"":0,""steps"":229}"
20210625,"""	-0500""",5,"{""duration"":21,""altitude"":0.0,""distance"":222,""calorie"":3918,""count"":0,""floor"":0,""steps"":358}"
20210626,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2246,""calorie"":146000,""count"":0,""floor"":0,""steps"":2546}"
20210626,"""	-0500""",5,"{""duration"":69,""altitude"":0.0,""distance"":1707,""calorie"":225367,""count"":0,""floor"":0,""steps"":2845}"
20210627,"""	-0500""",5,"{""duration"":42,""altitude"":0.0,""distance"":1169,""calorie"":43311,""count"":0,""floor"":0,""steps"":1725}"
20210628,"""	-0500""",5,"{""duration"":40,""altitude"":0.0,""distance"":1460,""calorie"":63394,""count"":0,""floor"":0,""steps"":2056}"
20210629,"""	-0500""",5,"{""duration"":24,""altitude"":0.0,""distance"":280,""calorie"":6723,""count"":0,""floor"":0,""steps"":467}"
20210630,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2382,""calorie"":155000,""count"":0,""floor"":0,""steps"":2615}"
20210630,"""	-0500""",5,"{""duration"":42,""altitude"":0.0,""distance"":1378,""calorie"":173082,""count"":0,""floor"":0,""steps"":1980}"
20210701,"""	-0500""",5,"{""duration"":98,""altitude"":0.0,""distance"":5747,""calorie"":249434,""count"":0,""floor"":0,""steps"":7957}"
20210702,"""	-0500""",5,"{""duration"":153,""altitude"":0.0,""distance"":7730,""calorie"":339448,""count"":0,""floor"":0,""steps"":11032}"
20210703,"""	-0500""",5,"{""duration"":33,""altitude"":0.0,""distance"":455,""calorie"":10434,""count"":0,""floor"":0,""steps"":742}"
20210704,"""	-0500""",5,"{""duration"":51,""altitude"":0.0,""distance"":1645,""calorie"":63742,""count"":0,""floor"":0,""steps"":2455}"
20210705,"""	-0500""",4,"{""duration"":3,""altitude"":0.0,""distance"":388,""calorie"":23824,""count"":0,""floor"":0,""steps"":488}"
20210705,"""	-0500""",5,"{""duration"":77,""altitude"":0.0,""distance"":3570,""calorie"":164959,""count"":0,""floor"":0,""steps"":4894}"
20210706,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":1027,""calorie"":40008,""count"":0,""floor"":0,""steps"":1491}"
20210707,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":438,""calorie"":11558,""count"":0,""floor"":0,""steps"":711}"
20210708,"""	-0500""",5,"{""duration"":25,""altitude"":0.0,""distance"":288,""calorie"":7299,""count"":0,""floor"":0,""steps"":522}"
20210709,"""	-0500""",5,"{""duration"":38,""altitude"":0.0,""distance"":373,""calorie"":13336,""count"":0,""floor"":0,""steps"":647}"
20210710,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2412,""calorie"":148000,""count"":0,""floor"":0,""steps"":2623}"
20210710,"""	-0500""",5,"{""duration"":54,""altitude"":0.0,""distance"":1837,""calorie"":111604,""count"":0,""floor"":0,""steps"":2544}"
20210711,"""	-0500""",5,"{""duration"":43,""altitude"":0.0,""distance"":1057,""calorie"":39833,""count"":0,""floor"":0,""steps"":1594}"
