generateTime,totalInfo,timeZone,type
20210527 14:35:24,"{""avgRestingHeartRate"":0,""lastHeartRate"":96,""lastRestHeartRate"":0,""maxHeartRate"":181,""minHeartRate"":61}","""	-0500""",7
20210528 14:49:18,"{""avgRestingHeartRate"":0,""lastHeartRate"":86,""lastRestHeartRate"":0,""maxHeartRate"":126,""minHeartRate"":44}","""	-0500""",7
20210528 17:25:26,"{""allSleepTime"":517,""awakeTime"":1,""daySleepTime"":0,""deepSleepPart"":71,""deepSleepTime"":162,""dreamTime"":63,""fallAsleepTime"":1622101620000,""goBedTime"":1622097917000,""lightSleepTime"":292,""sleepEfficiency"":10,""sleepLatency"":4011000,""sleepScore"":85,""snoreFreq"":1,""validData"":80.21,""wakeupCnt"":1,""wakeupTime"":1622132700000}","""	-0500""",9
20210528 23:08:56,"{""allSleepTime"":631,""awakeTime"":24,""daySleepTime"":59,""deepSleepPart"":65,""deepSleepTime"":236,""dreamTime"":150,""fallAsleepTime"":1622182200000,""goBedTime"":1622178321000,""lightSleepTime"":245,""sleepEfficiency"":12,""sleepLatency"":4285000,""sleepScore"":79,""snoreFreq"":1,""validData"":83.57,""wakeupCnt"":1,""wakeupTime"":1622221500000}","""	-0500""",9
20210529 22:14:51,"{""allSleepTime"":351,""awakeTime"":0,""daySleepTime"":129,""deepSleepPart"":48,""deepSleepTime"":98,""dreamTime"":60,""fallAsleepTime"":1622277000000,""goBedTime"":1622273063000,""lightSleepTime"":193,""sleepEfficiency"":7,""sleepLatency"":4267000,""sleepScore"":72,""snoreFreq"":5,""validData"":88.58,""wakeupCnt"":0,""wakeupTime"":1622298060000}","""	-0500""",9
20210531 00:28:31,"{""allSleepTime"":496,""awakeTime"":23,""daySleepTime"":59,""deepSleepPart"":59,""deepSleepTime"":150,""dreamTime"":89,""fallAsleepTime"":1622363880000,""goBedTime"":1622359724000,""lightSleepTime"":257,""sleepEfficiency"":9,""sleepLatency"":4457000,""sleepScore"":84,""snoreFreq"":6,""validData"":82.2,""wakeupCnt"":2,""wakeupTime"":1622395020000}","""	-0500""",9
20210531 21:15:47,"{""allSleepTime"":577,""awakeTime"":5,""daySleepTime"":0,""deepSleepPart"":75,""deepSleepTime"":168,""dreamTime"":106,""fallAsleepTime"":1622447880000,""goBedTime"":1622446908000,""lightSleepTime"":303,""sleepEfficiency"":29,""sleepLatency"":1297000,""sleepScore"":78,""snoreFreq"":6,""validData"":85.4,""wakeupCnt"":1,""wakeupTime"":1622482800000}","""	-0500""",9
20210602 00:01:43,"{""allSleepTime"":564,""awakeTime"":3,""daySleepTime"":0,""deepSleepPart"":54,""deepSleepTime"":168,""dreamTime"":73,""fallAsleepTime"":1622534520000,""goBedTime"":1622530427000,""lightSleepTime"":323,""sleepEfficiency"":11,""sleepLatency"":4370000,""sleepScore"":77,""snoreFreq"":1,""validData"":89.33,""wakeupCnt"":1,""wakeupTime"":1622568540000}","""	-0500""",9
20210602 22:03:22,"{""allSleepTime"":272,""awakeTime"":0,""daySleepTime"":128,""deepSleepPart"":45,""deepSleepTime"":68,""dreamTime"":40,""fallAsleepTime"":1622624520000,""goBedTime"":1622623861000,""lightSleepTime"":164,""sleepEfficiency"":27,""sleepLatency"":671000,""sleepScore"":63,""snoreFreq"":1,""validData"":88.31,""wakeupCnt"":0,""wakeupTime"":1622640840000}","""	-0500""",9
20210603 18:58:19,"{""allSleepTime"":350,""awakeTime"":0,""daySleepTime"":157,""deepSleepPart"":64,""deepSleepTime"":130,""dreamTime"":76,""fallAsleepTime"":1622707440000,""goBedTime"":1622707269000,""lightSleepTime"":144,""sleepEfficiency"":40,""sleepLatency"":475000,""sleepScore"":79,""snoreFreq"":1,""validData"":90.14,""wakeupCnt"":0,""wakeupTime"":1622728440000}","""	-0500""",9
20210605 00:41:31,"{""allSleepTime"":381,""awakeTime"":4,""daySleepTime"":83,""deepSleepPart"":45,""deepSleepTime"":98,""dreamTime"":86,""fallAsleepTime"":1622795520000,""goBedTime"":1622795073000,""lightSleepTime"":197,""sleepEfficiency"":31,""sleepLatency"":746000,""sleepScore"":76,""snoreFreq"":1,""validData"":86.36,""wakeupCnt"":1,""wakeupTime"":1622818620000}","""	-0500""",9
20210605 22:48:00,"{""allSleepTime"":588,""awakeTime"":0,""daySleepTime"":0,""deepSleepPart"":67,""deepSleepTime"":166,""dreamTime"":129,""fallAsleepTime"":1622882700000,""goBedTime"":1622881676000,""lightSleepTime"":293,""sleepEfficiency"":35,""sleepLatency"":1034000,""sleepScore"":77,""snoreFreq"":3,""validData"":91.27,""wakeupCnt"":0,""wakeupTime"":1622917980000}","""	-0500""",9
20210607 01:12:14,"{""allSleepTime"":514,""awakeTime"":0,""daySleepTime"":0,""deepSleepPart"":62,""deepSleepTime"":148,""dreamTime"":96,""fallAsleepTime"":1622968860000,""goBedTime"":1622968274000,""lightSleepTime"":270,""sleepEfficiency"":36,""sleepLatency"":860000,""sleepScore"":85,""snoreFreq"":1,""validData"":89.64,""wakeupCnt"":0,""wakeupTime"":1622999700000}","""	-0500""",9
20210607 11:18:47,"{""avgRestingHeartRate"":0,""lastHeartRate"":81,""lastRestHeartRate"":0,""maxHeartRate"":183,""minHeartRate"":41}","""	-0500""",7
