15967,The 13th Grave,00032864,Monster,DARK,3,Zombie/Normal,1200/900,A zombie that suddenly appeared from plot #13 - an empty grave.,"","","","",""
15968,3-Hump Lacooda,86988864,Monster,EARTH,3,Beast/Effect,500/1500,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.","","","","",""
15969,"30,000-Year White Turtle",11714098,Monster,WATER,5,Aqua/Normal,1250/2100,"A huge turtle that has existed for more than 30,000 years.","","","","",""
15970,4-Starred Ladybug of Doom,83994646,Monster,WIND,3,Insect/Flip/Effect,800/1200,FLIP: Destroy all Level 4 monsters your opponent controls.,"","","","",""
15971,7 Colored Fish,23771716,Monster,WATER,4,Fish/Normal,1800/800,A rare rainbow fish that has never been caught by mortal man.,"","","","",""
15972,8-Claws Scorpion,14261867,Monster,DARK,2,Insect/Effect,300/200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.","","","","",""
15973,A-Assault Core,30012506,Monster,LIGHT,4,Machine/Union/Effect,1900/200,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 other Union monster from your Graveyard to your hand.",A-to-Z,"","","",""
15974,A-Team: Trap Disposal Unit,13026402,Monster,FIRE,2,Machine/Effect,300/400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.","","","","",""
15975,A-to-Z-Dragon Buster Cannon,65172015,Monster,LIGHT,10,Machine/Fusion/Effect,4000/4000,"Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",A-to-Z,"","""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""","",""
15976,A/D Changer,96146814,Monster,LIGHT,1,Warrior/Effect,100/100,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",Change,"","","",""
15977,ABC-Dragon Buster,01561110,Monster,LIGHT,8,Machine/Fusion/Effect,3000/2800,"Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your Graveyard. (You do not use ""Polymerization"".) Once per turn, during either player's turn: You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn: You can Tribute this card, then target 3 of your banished LIGHT Machine-Type Union monsters with different names; Special Summon them (this is a Quick Effect).",A-to-Z,"","""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""","",""
15978,Abaki,12694768,Monster,FIRE,4,Fiend/Effect,1700/1000,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.","","","","",""
15979,Abare Ushioni,89718302,Monster,EARTH,4,Beast-Warrior/Effect,1200/1200,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.","","","","",""
15980,Absolute Crusader,70832512,Monster,EARTH,4,Warrior/Effect,1800/1200,When a Level 5 or higher monster is Special Summoned: Tribute this face-up card on the field; destroy that Level 5 or higher monster.,"","","","",""
15981,Absolute King Back Jack,60990740,Monster,DARK,1,Fiend/Effect,0/0,"During your opponent's turn: You can banish this card from the Graveyard (this is a Quick Effect); excavate the top card of your Deck, and if it is a Normal Trap Card, Set it to your side of the field. Otherwise, send it to the Graveyard. That Set card can be activated during this turn. If this card is sent to the Graveyard: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.","","","","",""
15982,Absorbing Jar,03900605,Monster,EARTH,3,Rock/Effect,600/500,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",Jar,"","","",""
15983,Absorbing Kid from the Sky,49771608,Monster,LIGHT,4,Fairy/Effect,1300/1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.","","","","",""
15984,Abyss Actor - Trendy Understudy,39024589,Monster,DARK,2,Fiend/Pendulum/Effect,700/700,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",Abyss Actor,"","",8/8,"When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand."
15985,Abyss Actor - Evil Heel,52240819,Monster,DARK,8,Fiend/Pendulum/Effect,3000/2000,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",Abyss Actor,"","",1/1,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field)."
15986,Abyss Actor - Extras,88412339,Monster,DARK,1,Fiend/Pendulum/Effect,100/100,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",Abyss Actor,"","",3/3,"If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn."
